139,138
139,140
27,64
27,67
27,26
77,136
77,41
121,120
121,74
186,185
186,187
105,88
241,17
262,94
262,60
240,257
240,229
22,251
22,21
22,245
17,84
17,75
17,76
268,150
149,148
149,150
20,18
20,21
74,10
185,184
120,119
108,107
108,109
272,160
52,255
52,242
52,237
232,85
154,155
154,38
253,252
253,66
251,23
25,94
25,248
25,95
25,24
230,45
230,9
230,231
230,82
247,23
35,111
35,33
152,151
152,97
256,239
189,188
189,190
166,167
166,165
190,191
264,1
92,24
92,143
269,58
236,80
236,225
13,249
13,238
266,144
112,114
112,113
140,141
187,58
45,79
45,223
129,128
129,135
80,44
249,12
102,47
102,100
50,239
50,49
192,213
192,191
21,246
153,71
130,127
130,132
122,29
122,123
250,254
250,91
271,212
38,113
24,23
24,93
66,12
136,137
33,26
33,90
163,162
163,164
2,181
2,4
31,177
110,89
110,101
110,111
148,147
228,46
107,46
182,183
182,3
258,78
210,211
210,207
115,3
115,8
81,220
81,43
223,65
118,117
118,119
167,168
231,14
15,32
15,84
15,14
16,233
16,235
16,234
16,238
101,40
117,5
265,131
172,171
172,174
178,54
178,179
37,142
37,194
116,72
116,6
159,214
159,158
137,138
63,41
63,42
142,141
36,188
36,83
106,99
106,100
174,173
151,62
212,211
219,1
219,218
97,11
86,39
86,41
243,65
243,44
85,234
184,183
71,53
43,40
43,44
208,201
208,209
175,176
175,173
221,79
221,222
214,160
78,257
134,133
134,135
44,42
165,164
252,11
252,244
239,51
82,229
53,242
124,8
124,125
195,196
195,198
218,217
68,259
270,204
161,57
161,162
259,19
132,131
246,244
61,143
145,7
145,146
257,237
215,30
215,216
54,177
169,168
169,6
75,127
39,200
41,83
9,87
9,72
89,109
70,10
70,123
32,234
227,48
200,199
202,203
202,193
203,204
155,156
7,181
14,10
12,91
263,67
114,87
193,194
103,51
88,47
226,225
201,197
156,157
158,157
90,34
76,128
11,96
55,205
146,29
177,176
171,170
213,206
19,69
19,28
125,126
224,220
56,205
206,207
196,197
144,95
225,98
199,198
18,260
5,170
59,133
209,205
73,126
73,10
104,49
216,217
96,147
93,261
28,260
4,30
267,261
180,179
99,34
49,47
49,48
